listing_id,owner_id,pet_id,title,description,start_date,end_date,price_per_day,latitude,longitude,status,location,created_at
1,550e8400-e29b-41d4-a716-446655440001,1,"Garde pour Buddy, golden retriever adorable","Cherche pet-sitter expérimenté pour mon golden de 3 ans pendant mes vacances. Buddy est très sociable et a besoin de beaucoup d'exercice.","2025-08-20","2025-08-27",25.00,48.8566,2.3522,ACTIVE,"Paris 15ème",2025-08-12 10:00:00
2,550e8400-e29b-41d4-a716-446655440001,2,"Garde chat Maine Coon - Whiskers","Mon chat Whiskers a besoin d'une garde à domicile. Très câlin mais préfère le calme. Pas compliqué !","2025-08-25","2025-09-02",15.00,48.8566,2.3522,ACTIVE,"Paris 15ème",2025-08-12 11:30:00
3,550e8400-e29b-41d4-a716-446655440005,3,"Garde Minou - Chat Persan capricieux","Minou est un chat persan qui demande de l'attention. Brossage quotidien nécessaire et croquettes spéciales fournies.","2025-08-18","2025-08-25",20.00,48.8606,2.3376,ACTIVE,"Paris 9ème",2025-08-13 09:15:00
4,550e8400-e29b-41d4-a716-446655440005,4,"Felix - Chat européen indépendant","Felix est très autonome, juste besoin de quelqu'un pour le nourrir et lui tenir compagnie. Accès au jardin sécurisé.","2025-08-22","2025-08-29",12.00,48.8606,2.3376,ACTIVE,"Paris 9ème",2025-08-13 14:20:00
5,550e8400-e29b-41d4-a716-446655440007,6,"Garde lapin Caramel - Facile et mignon","Caramel est un lapin nain très mignon. Foin et légumes frais à donner. Très facile pour débuter avec les NAC !","2025-08-16","2025-08-23",10.00,48.8738,2.2950,ACTIVE,"Neuilly-sur-Seine",2025-08-14 16:45:00
6,550e8400-e29b-41d4-a716-446655440008,7,"Rex - Golden actif cherche garde dynamique","Rex est un golden de 6 ans très énergique. Parfait pour un pet-sitter qui aime les activités sportives. Peut nager !","2025-08-30","2025-09-07",30.00,48.8448,2.3739,ACTIVE,"Paris 12ème",2025-08-14 08:30:00
7,550e8400-e29b-41d4-a716-446655440010,8,"Max - Border Collie intelligent","Max est un border collie très intelligent qui a besoin de stimulation mentale. Connaît de nombreux tours. Défis garantis !","2025-08-21","2025-08-28",28.00,48.8924,2.3417,ACTIVE,"Paris 17ème",2025-08-15 12:00:00
8,550e8400-e29b-41d4-a716-446655440010,9,"Bella - Labrador parfait pour débuter","Bella est une labrador de 2 ans très douce et obéissante. Parfaite pour un premier pet-sitting. Adore les enfants.","2025-08-19","2025-08-26",22.00,48.8924,2.3417,ACTIVE,"Paris 17ème",2025-08-15 15:30:00
9,550e8400-e29b-41d4-a716-446655440012,10,"Shadow - Chat senior tranquille","Shadow est un chat senior très calme. Médicament pour arthrose à donner 1x/jour (très facile). Compagnie appréciée.","2025-08-24","2025-09-01",18.00,48.8356,2.3599,ACTIVE,"Paris 14ème",2025-08-16 10:45:00
10,550e8400-e29b-41d4-a716-446655440003,11,"Coco - Perruche bavarde et musicale","Coco est une perruche qui adore la musique. Cage à nettoyer tous les 2 jours. Elle vous tiendra compagnie avec ses chants !","2025-08-17","2025-08-24",8.00,48.8566,2.3522,RESERVED,"Paris 15ème",2025-08-16 18:20:00
11,550e8400-e29b-41d4-a716-446655440001,12,"Nemo - Poisson rouge facile","Aquarium de Nemo très facile à maintenir. Nourriture 1x/jour. Parfait pour un premier pet-sitting !","2025-08-20","2025-08-30",5.00,48.8566,2.3522,ACTIVE,"Paris 15ème",2025-08-17 09:00:00
12,550e8400-e29b-41d4-a716-446655440005,5,"Luna - Jeune chatte joueuse","Luna est une siamoise de 1 an très joueuse. Attention aux plantes ! Beaucoup d'énergie à dépenser.","2025-08-26","2025-09-03",16.00,48.8606,2.3376,ACTIVE,"Paris 9ème",2025-08-17 13:15:00

