pet_id,owner_id,name,species,breed,age,photo_url,special_notes
1,550e8400-e29b-41d4-a716-446655440001,Buddy,Chien,Golden Retriever,3,https://images.unsplash.com/photo-1633722715463-d30f4f325e24?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Très sociable, adore jouer avec les autres chiens. Besoin de 2 promenades par jour."
2,550e8400-e29b-41d4-a716-446655440001,Whiskers,Chat,Maine Coon,5,https://images.unsplash.com/photo-1655107905089-411ebc96c7e3?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Chat d'intérieur, très câlin. Préfère la tranquillité."
3,550e8400-e29b-41d4-a716-446655440005,Minou,Chat,Persan,2,https://images.unsplash.com/photo-1695940417525-2576178c50bd?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Chat capricieux, n'aime que les croquettes premium. Besoin de brossage quotidien."
4,550e8400-e29b-41d4-a716-446655440005,Felix,Chat,Européen,4,https://images.unsplash.com/photo-1594401035860-34a8e79f3d2d?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Très indépendant, sort parfois dans le jardin sécurisé."
5,550e8400-e29b-41d4-a716-446655440005,Luna,Chat,Siamois,1,https://images.unsplash.com/photo-1666181839388-2623c19d935e?w=700&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8c2lhbWVzZSUyMGNhdHxlbnwwfHwwfHx8MA%3D%3D,"Jeune chatte très joueuse, attention aux plantes (elle les grignote)."
6,550e8400-e29b-41d4-a716-446655440007,Caramel,Lapin,Nain,3,https://images.unsplash.com/photo-1585110396000-c9ffd4e4b308?w=700&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8cmFiYml0fGVufDB8fDB8fHww,"Lapin domestique, mange foin et légumes frais. Cage spacieuse fournie."
7,550e8400-e29b-41d4-a716-446655440008,Rex,Chien,Golden Retriever,6,https://images.unsplash.com/photo-1558619819-fc2fa628fe77?w=700&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8cmV4JTIwZG9nfGVufDB8fDB8fHww,"Chien très actif, besoin de beaucoup d'exercice. Sait nager."
8,550e8400-e29b-41d4-a716-446655440010,Max,Chien,Border Collie,4,https://images.unsplash.com/photo-1503256207526-0d5d80fa2f47?w=700&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8Ym9yZGVyJTIwY29sbGllfGVufDB8fDB8fHww,"Très intelligent, connaît beaucoup de tours. Besoin de stimulation mentale."
9,550e8400-e29b-41d4-a716-446655440010,Bella,Chien,Labrador,2,https://images.unsplash.com/photo-1537204696486-967f1b7198c8?w=700&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8bGFicmFkb3J8ZW58MHx8MHx8fDA%3D,"Chienne douce et obéissante, parfaite pour débuter. Adore les enfants."
10,550e8400-e29b-41d4-a716-446655440012,Shadow,Chat,British Shorthair,7,https://images.unsplash.com/photo-1512873897628-eea05c840147?w=700&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8YnJpdGlzaCUyMHNob3J0aGFpcnxlbnwwfHwwfHx8MA%3D%3D,"Chat senior, très calme. Médicament pour arthrose 1x/jour."
11,550e8400-e29b-41d4-a716-446655440003,Coco,Oiseau,Perruche,2,https://images.unsplash.com/photo-1698171277565-9ae3a07f9cc6?w=700&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8cGVycnVjaGV8ZW58MHx8MHx8fDA%3D,"Perruche bavarde, aime la musique. Cage à nettoyer tous les 2 jours."
12,550e8400-e29b-41d4-a716-446655440001,Nemo,Poisson,Poisson rouge,1,https://images.unsplash.com/photo-1524096613842-71a8c45f08a2?w=700&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8Y2xvd24lMjBmaXNofGVufDB8fDB8fHww,"Aquarium de 50L, nourriture 1x/jour. Facile à garder."

